utc_timestamp,customer_name,customer_vpa,txn_type,amount,status,utr
2024-07-15 13:02,Ramesh Kumar,ramesh.k@oksbi,CREDIT,1500.00,PENDING,92210
2024-07-28 18:39,Mukesh,mukesh@oksbi,CREDIT,2070.00,SETTLED,8815
2024-07-22 17:22,Arun,arun@okicici,CREDIT,743.00,SETTLED,6642
2024-07-09 16:30,Kavita,kavita@okhdfcbank,CREDIT,1561.00,SETTLED,8107
2024-07-07 16:52,Pooja,pooja@paytm,CREDIT,2479.00,SETTLED,5301
2024-07-27 15:43,Amit,amit@ybl,CREDIT,1441.00,SETTLED,1789
2024-07-04 14:20,Neha,neha@okaxis,CREDIT,1041.00,SETTLED,2789
2024-07-13 17:46,Ramesh,ramesh@apl,CREDIT,361.00,SETTLED,9489
2024-07-14 13:32,Deepak,deepak@ybl,CREDIT,1536.00,SETTLED,2128
2024-07-21 15:33,Sunita,sunita@ibl,CREDIT,2357.00,SETTLED,3792
2024-07-17 15:28,Manish,manish@okaxis,CREDIT,1621.00,SETTLED,1519
2024-07-10 16:12,Pooja,pooja@ibl,CREDIT,3136.00,SETTLED,4747
2024-07-03 14:41,Mukesh,mukesh@okhdfcbank,CREDIT,2451.00,SETTLED,8133
2024-07-19 12:03,Ajay,ajay@okhdfcbank,CREDIT,2760.00,SETTLED,3566
2024-07-02 16:20,Raj,raj@ibl,CREDIT,1280.00,SETTLED,6966
2024-07-20 10:07,Savita,savita@okaxis,CREDIT,182.00,SETTLED,8865
2024-07-15 15:57,Anita,anita@paytm,CREDIT,3128.00,SETTLED,5397
2024-07-24 14:42,Sunita,sunita@apl,CREDIT,67.00,SETTLED,8421
2024-07-10 18:39,Raj,raj@apl,CREDIT,1957.00,SETTLED,5485
2024-07-12 15:15,Meena,meena@oksbi,CREDIT,635.00,SETTLED,7527
2024-07-16 09:59,Arun,arun@okaxis,CREDIT,52.00,SETTLED,6060
2024-07-20 13:07,Ravi,ravi@oksbi,CREDIT,796.00,SETTLED,6622
2024-07-17 18:02,Ravi,ravi@apl,CREDIT,569.00,SETTLED,2386
2024-07-13 16:41,Savita,savita@okicici,CREDIT,1749.00,SETTLED,6717
2024-07-25 12:32,Rekha,rekha@okhdfcbank,CREDIT,158.00,SETTLED,3985
2024-07-09 13:23,Geeta,geeta@okicici,CREDIT,545.00,SETTLED,6012
2024-07-21 15:28,Raj,raj@okhdfcbank,CREDIT,1365.00,SETTLED,3151
2024-07-02 12:37,Amit,amit@okicici,CREDIT,68.00,SETTLED,2365
2024-07-28 12:26,Manish,manish@okaxis,CREDIT,1362.00,SETTLED,3534
2024-07-08 11:12,Ramesh,ramesh@okaxis,CREDIT,2888.00,SETTLED,9656
2024-07-28 15:32,Mukesh,mukesh@okhdfcbank,CREDIT,698.00,SETTLED,7082
2024-07-15 16:30,Ajay,ajay@ibl,CREDIT,332.00,SETTLED,2397
2024-07-19 10:33,Sanjay,sanjay@okaxis,CREDIT,2554.00,SETTLED,2286
2024-07-09 11:54,Amit,amit@oksbi,CREDIT,2016.00,SETTLED,2469
2024-07-04 09:19,Lata,lata@paytm,CREDIT,2776.00,SETTLED,4890
2024-07-04 10:40,Raj,raj@oksbi,CREDIT,62.00,SETTLED,2380
2024-07-13 17:28,Amit,amit@okicici,CREDIT,446.00,SETTLED,5956
